Sample	Group	"Lactic_Acid,_2TMS_derivative"	"L-Alanine,_2TMS_derivative"	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	"3-Methyl-2-butenoic_acid,_morpholide"	"Silanol,_trimethyl-,_carbonate_(2:1)"	"Pentasiloxane,_dodecamethyl-"	"1,4-Butanediol,_2TMS_derivative"	Creatinine	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	"L-Valine,_2TMS_derivative"	"Ethylphosphonic_acid,_2TMS_derivative"	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	"Benzoic_Acid,_TMS_derivative"	"L-Isoleucine,_2TMS_derivative"	"L-Proline,_2TMS_derivative"	"Glycine,_3TMS_derivative"	"Butanedioic_acid,_2TMS_derivative"	"L-Leucine,_2TMS_derivative"	"Glyceric_acid,_3TMS_derivative"	"Uracil,_2TMS_derivative"	"Serine,_3TMS_derivative"	"8,10-Dioxaheptadecane"	Unknown_7_02	"Pipecolic_acid,_2TMS_derivative"	"L-Threonine,_3TMS_derivative"	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	".beta.-Alanine,_3TMS_derivative"	"3-Amino-2-piperidone,_2TMS_derivative"	Unknown_9_81	"Malic_acid,_3TMS_derivative"	"Erythritol_2,_4TMS_derivative"	"Tromethamine,_4TMS_derivative"	"Pyroglutamic_acid,_TMS_derivative"	"L-Aspartic_acid,_3TMS_derivative"	"L-Methionine,_2TMS_derivative"	"L-5-Oxoproline,_,_2TMS_derivative"	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	"4-Aminobutanoic_acid,_3TMS_derivative"	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	"DL-Phenylalanine,_TMS_derivative"	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	"2-Aminoadipic_acid,_3TMS_derivative"	"3-Phenyllactic_acid,_2TMS_derivative"	"2-Aminooctanoic_acid,_2TMS_derivative"	"L-Glutamic_acid,_3TMS_derivative"	"L-Phenylalanine,_2TMS_derivative"	"2-Aminoheptanedioic_acid,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	Unknown_15_17	"Asparagine,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Xylitol,_5TMS_derivative"	"Putrescine,_4TMS_derivative"	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	"Myo-Inositol,_6TMS_derivative_isomer_1"	"Terephthalic_acid,_2TMS_derivative"	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	"9H-Purin-6-ol,_2TMS_derivative"	"L-Ornithine,_4TMS_derivative"	"Citric_acid,_4TMS_derivative"	Unknown_19_62	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	"Adenine,_2TMS_derivative"	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"D-(+)-Gluconolactone,_4TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	"Cadaverine,_4TMS_derivative"	"L-Lysine,_4TMS_derivative"	"D-Glucitol,_6TMS_derivative"	"L-Tyrosine,_3TMS_derivative"	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	"D-Gluconic_acid,_6TMS_derivative"	"Muco-Inositol,_6TMS_derivative"	Unknown_22_95	"Glucose,_5TMS_derivative_13C"	"Glucose,_5TMS_derivative"	"Palmitic_Acid,_TMS_derivative"	"Myo-Inositol,_6TMS_derivative_isomer_2"	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	"Indole-3-lactic_acid,_3TMS_derivative"	"L-Tryptophan,_3TMS_derivative"	"Oleic_Acid,_(Z)-,_TMS_derivative"	Sugar_phosphate_26_68	"Stearic_acid,_TMS_derivative"	"Tranexamic_acid,_3TMS_derivative"	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	"Xanthine,_3TMS_derivative"	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Uridine,_3TMS_derivative"	"Inosine,_4TMS_derivative"	"Sucrose,_8TMS_derivative"	"Adenosine,_4TMS_derivative"	Unknown_30_30	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"Lactose,_8TMS_derivative"	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	"Guanosine,_5TMS_derivative"	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	L_Norvaline
185_T0_2	185_T0	225848	683187	47073	1364	31457	44663	27861	69	54871	571835	62	241	1231	499200	706133	304268	60158	8004824	3230	4558	192008	27717	9012	10366	68867	18338	462	2873	484	878	1371	2025	1074	3326	8360	130796	90380	463199	176	20468	5572	1523	934	803	3686	250	2212	403122	334056	4045	1381	3482	3216	695	4385	3078	24380	3330	9399	5302	10538	3598	365	10868	15891	1258842	5803	932975	23848	25401	488122	1859743	12	95389	373860	14000	32969	25457	201776	27437	144154	3869	1155	13741	39194	14064	57006	1181	29	70530	1457	315	16835	14459	2994	2456	113	2984	4999	23414	12586	3087	56621	936845	5950	7892	14204	5578	2456	6567621
185_T0_3	185_T0	214551	629593	44665	1291	28733	41737	27971	35	51003	528588	54	169	1091	462500	653498	282338	61348	7479930	2807	3876	175351	25193	6240	9114	62131	16804	344	2366	460	883	901	1729	989	2770	6066	117431	84086	424042	149	18188	3668	1326	809	642	2636	185	1475	369052	305263	2745	1176	4220	2685	594	3841	2847	23182	2758	8431	6445	9292	2985	337	9721	12131	1156162	5052	858354	22176	23190	444716	1724812	12	86191	342102	12194	31077	23069	179556	24916	131118	3540	996	10729	31262	12323	52231	970	85	63369	1285	273	14768	12181	2413	2417	89	2530	3888	19658	9646	3001	62395	859706	4861	5874	12365	4555	85	6160655
185_T0_4	185_T0	274885	902294	52282	1226	27668	35829	36236	171	61228	637657	68	208	1245	514304	893755	406012	81175	8053575	3152	5073	231609	30035	14706	12620	79649	21162	517	3103	580	885	1470	2285	1227	2839	16008	148285	93877	564100	218	27995	6949	1956	905	793	4268	314	3333	462704	340267	4369	1624	3691	3707	1385	4818	4101	33710	4114	10732	5446	11754	4311	392	11949	16976	1470170	6685	1033035	15368	26752	524688	2042879	142	99241	400071	17891	44764	26254	227301	28366	148387	4068	1211	18845	55373	13153	62300	1205	57	75268	1485	438	15517	18446	2738	3019	243	2866	5431	20871	13893	3548	904574	936579	7651	8042	14303	5474	1718	6936446
185_T0_5	185_T0	207808	532476	47128	2891	25556	37356	30089	75	55796	461626	63	163	1072	404875	545389	238701	53079	6871727	2449	3230	147017	25879	4343	7815	52015	13699	257	1985	349	756	607	1479	825	2397	4543	97059	71122	339504	170	14798	2804	1023	676	479	1963	172	1006	305668	263926	2058	911	3606	2353	568	2905	2785	17269	2179	6774	4942	7219	2400	293	7533	9746	984971	4044	710679	19095	19340	383601	1481893	12	70162	277889	8617	25661	18782	145701	20467	104371	2882	838	8149	23060	12655	42364	847	12	48845	1242	184	14831	8918	1797	1583	63	1906	3043	15503	7357	2470	736407	736453	2586	4755	9026	3443	862	5624953
186_T0_1	186_T0	219236	634823	43034	1348	29182	42692	30968	43	55824	536927	70	185	1019	462420	620052	280713	56795	7568903	2979	4395	176309	26247	10831	9125	63024	17954	462	2505	423	745	1583	1828	1050	2884	7224	116159	84695	446637	191	18429	6882	1219	864	624	4416	298	2470	363175	314784	4653	1202	3308	2599	600	3706	3012	24213	2934	7893	4820	8666	3183	302	9363	12785	1081068	5245	793828	21645	20831	452522	1619018	72	86432	316376	11975	30366	21438	184496	22884	119500	3281	1099	13306	35839	12823	50691	1023	61	69597	1211	241	15596	13275	2577	2542	393	2624	3936	18561	10688	2657	54423	883753	5036	6555	11606	4454	1858	6220292
186_T0_2	186_T0	247402	882393	57443	1311	27927	38606	32120	229	55590	616294	78	293	1354	493634	839115	441576	83006	8014853	3337	5598	261466	28438	31091	12335	90253	23430	604	3534	607	1264	2744	2520	1151	3209	14163	177232	93857	626829	214	28016	14898	2102	1019	819	6598	514	5362	498526	346957	7087	1954	3681	5207	1643	4925	4699	36434	6220	10586	6769	11801	4889	700	13800	18176	1487649	7578	1047864	16962	27865	570859	2079575	128	109326	408965	19353	66958	27642	252874	29914	155776	4599	1410	24153	65132	14773	70236	1589	119	91864	1729	699	17066	22067	3897	3889	293	3606	6578	24456	16944	3884	63750	1105710	7423	10908	16624	7012	1957	6510148
186_T0_3	186_T0	226973	673742	48099	1296	29935	42794	30071	49	56237	565906	59	169	1105	481882	657050	289677	68725	7724603	3138	4540	183067	25930	7468	9626	66314	18678	352	2775	485	903	1052	2058	1012	2940	7037	118538	88119	454097	174	19779	4405	1428	843	688	3295	250	1768	397859	327478	3492	1263	4335	2545	567	4167	2877	25755	2963	8409	5195	9399	3412	365	10026	14158	1148826	4683	844969	21303	22490	473283	1710450	71	91235	333022	12740	30445	23848	197125	24505	130227	3620	1075	11754	31699	13347	53598	1073	77	71540	1285	239	15483	13503	2801	2875	157	2482	4580	20249	11247	2673	49284	939656	2843	7117	12200	4693	2077	6351879
186_T0_4	186_T0	266804	922088	46664	1475	28627	38102	34021	181	58177	637925	67	287	1304	488718	876674	449886	88715	8198753	3576	5975	264170	29331	32134	12729	92187	24763	634	3492	650	1226	2859	2634	1280	3363	14564	174766	95519	655816	241	29609	15974	2417	1058	844	8054	523	6328	505116	355669	8450	1992	2985	5308	1686	5052	4687	40709	5941	11341	8292	12293	5098	592	13883	20724	1533949	7802	1089459	16600	28468	616814	2143737	271	118975	423362	22838	66182	28793	261644	30056	159861	4657	1584	25545	68495	14734	72066	1667	54	89906	1708	708	16826	23259	4204	4487	243	3608	6667	24103	17637	4863	82278	1130417	5548	10769	16756	7091	92	6795416
186_T0_5	186_T0	264722	907193	51771	1384	27900	35909	34911	164	60698	636662	59	266	1085	520165	837145	417322	79804	8232451	3055	5360	240023	30709	17212	12077	82117	21437	552	3137	560	1050	1516	2233	1052	2859	13625	154739	96600	575581	232	26615	8624	1981	935	743	3986	399	3146	470819	346494	4171	1544	2804	4113	1332	4510	4215	35976	4591	9817	5032	10638	4174	486	11679	17569	1362607	5739	969246	14194	24589	534284	1906863	186	100239	367879	18265	50841	24311	234824	26465	136339	4060	1309	19342	53146	13795	62372	1339	45	81227	1500	543	15769	19234	2843	3797	214	3844	5991	19606	14981	3121	945427	977165	4157	8827	14463	4997	2149	6981944
183_T0_1	183_T1	210456	645015	44766	1185	31290	44361	31888	72	57738	529169	73	109	990	457805	741919	284941	61809	7685701	3004	4326	181236	25483	8488	10387	64175	18618	295	2673	479	838	1203	2070	1267	3274	6725	121769	84567	444852	166	19907	5099	1402	1091	710	3433	193	2217	376223	307311	3551	1287	2976	2958	747	4897	3433	25527	3591	10241	4998	11202	3211	398	11476	13460	1350756	5530	998595	24419	27600	473001	2000116	55	93965	403314	12494	31197	27251	189451	29153	156175	4008	1132	14034	42721	13147	57230	1058	51	72513	1305	297	15445	14329	2729	3190	132	2731	4381	25141	11997	3273	75987	895261	6754	7603	15633	6395	2569	6320126
