Sample	Group	"Lactic_Acid,_2TMS_derivative"	"L-Alanine,_2TMS_derivative"	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	"3-Methyl-2-butenoic_acid,_morpholide"	"Silanol,_trimethyl-,_carbonate_(2:1)"	"Pentasiloxane,_dodecamethyl-"	"1,4-Butanediol,_2TMS_derivative"	Creatinine	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	"L-Valine,_2TMS_derivative"	"Ethylphosphonic_acid,_2TMS_derivative"	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	"Benzoic_Acid,_TMS_derivative"	"L-Isoleucine,_2TMS_derivative"	"L-Proline,_2TMS_derivative"	"Glycine,_3TMS_derivative"	"Butanedioic_acid,_2TMS_derivative"	"L-Leucine,_2TMS_derivative"	"Glyceric_acid,_3TMS_derivative"	"Uracil,_2TMS_derivative"	"Serine,_3TMS_derivative"	"8,10-Dioxaheptadecane"	Unknown_7_02	"Pipecolic_acid,_2TMS_derivative"	"L-Threonine,_3TMS_derivative"	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	".beta.-Alanine,_3TMS_derivative"	"3-Amino-2-piperidone,_2TMS_derivative"	Unknown_9_81	"Malic_acid,_3TMS_derivative"	"Erythritol_2,_4TMS_derivative"	"Tromethamine,_4TMS_derivative"	"Pyroglutamic_acid,_TMS_derivative"	"L-Aspartic_acid,_3TMS_derivative"	"L-Methionine,_2TMS_derivative"	"L-5-Oxoproline,_,_2TMS_derivative"	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	"4-Aminobutanoic_acid,_3TMS_derivative"	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	"DL-Phenylalanine,_TMS_derivative"	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	"2-Aminoadipic_acid,_3TMS_derivative"	"3-Phenyllactic_acid,_2TMS_derivative"	"2-Aminooctanoic_acid,_2TMS_derivative"	"L-Glutamic_acid,_3TMS_derivative"	"L-Phenylalanine,_2TMS_derivative"	"2-Aminoheptanedioic_acid,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	Unknown_15_17	"Asparagine,_3TMS_derivative"	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Xylitol,_5TMS_derivative"	"Putrescine,_4TMS_derivative"	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	"Myo-Inositol,_6TMS_derivative_isomer_1"	"Terephthalic_acid,_2TMS_derivative"	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	"9H-Purin-6-ol,_2TMS_derivative"	"L-Ornithine,_4TMS_derivative"	"Citric_acid,_4TMS_derivative"	Unknown_19_62	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	"Adenine,_2TMS_derivative"	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"D-(+)-Gluconolactone,_4TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	"Cadaverine,_4TMS_derivative"	"L-Lysine,_4TMS_derivative"	"D-Glucitol,_6TMS_derivative"	"L-Tyrosine,_3TMS_derivative"	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	"D-Gluconic_acid,_6TMS_derivative"	"Muco-Inositol,_6TMS_derivative"	Unknown_22_95	"Glucose,_5TMS_derivative_13C"	"Glucose,_5TMS_derivative"	"Palmitic_Acid,_TMS_derivative"	"Myo-Inositol,_6TMS_derivative_isomer_2"	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	"Indole-3-lactic_acid,_3TMS_derivative"	"L-Tryptophan,_3TMS_derivative"	"Oleic_Acid,_(Z)-,_TMS_derivative"	Sugar_phosphate_26_68	"Stearic_acid,_TMS_derivative"	"Tranexamic_acid,_3TMS_derivative"	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	"Xanthine,_3TMS_derivative"	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	"Uridine,_3TMS_derivative"	"Inosine,_4TMS_derivative"	"Sucrose,_8TMS_derivative"	"Adenosine,_4TMS_derivative"	Unknown_30_30	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"Lactose,_8TMS_derivative"	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	"Guanosine,_5TMS_derivative"	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	L_Norvaline
183_T0_2	183_T1	191833	433519	42388	1287	21655	32408	28439	48	54001	386530	55	130	959	327692	438625	201881	39399	6143645	1948	2592	116627	25924	2267	6065	41533	10274	237	1613	255	629	313	1069	619	1790	2978	74996	56090	257950	32	11844	1547	920	518	396	1166	266	477	236615	217003	1193	829	4133	1736	383	2475	2630	11838	1542	4933	7518	5621	1363	198	5161	7311	812810	2332	587102	13642	15406	337831	1215800	88	59983	219981	6517	19203	14556	107276	16259	81278	2281	556	4874	12913	11112	32990	457	36	28067	876	118	12957	5268	1207	741	102	1631	1832	11226	4083	1587	32355	587169	1639	2378	6266	2040	12	5127112
183_T0_3	183_T1	253797	739157	49811	1367	24047	30643	34939	170	59875	540359	63	162	1173	422843	710746	311627	67002	6953966	2482	4363	178085	30175	10028	9994	62503	16488	371	2471	481	791	1037	1784	911	2140	10188	107099	74410	438450	186	21949	4619	1422	670	619	3164	504	2214	364666	285751	3319	1491	2292	2521	1139	3785	3314	24317	2800	8383	4006	9307	3041	251	9184	12883	1243729	5434	877518	11691	21481	443417	1767362	175	81027	329054	14118	33341	21155	181055	22613	116077	3164	961	14062	40758	13004	48550	958	89	51424	1390	352	14366	12228	1844	1831	178	2302	3717	15520	9859	3264	805318	805970	5331	5544	10816	3862	1317	5986340
183_T0_4	183_T1	263802	894459	60218	1444	28663	40066	33775	278	57739	634462	74	175	1332	511100	916716	484868	85849	8111896	3575	6171	281269	29833	43943	13116	96592	24961	768	3563	351	1587	3419	2826	1301	3522	14486	195876	99474	693360	286	30294	21621	2737	1151	981	10516	734	8419	500283	360244	10966	2281	4327	7763	1868	6020	6050	41192	7892	12435	6889	13272	5504	890	15276	19733	1653795	8731	1172016	17713	32043	599052	2320913	211	115829	464007	20730	89217	31870	266405	34103	178173	5216	1650	26900	77312	15918	76333	1813	54	93256	1963	1018	18475	25416	4630	5697	299	4218	7068	34385	19412	3877	1138938	1145883	10732	12066	19818	8907	3071	6727806
183_T0_5	183_T1	212412	573604	46207	1480	28425	40935	30347	64	54436	484877	56	158	1073	417775	599096	257203	51438	7340261	2658	3842	159570	26517	10842	8716	56639	15940	361	2184	413	773	1507	1730	998	2657	4830	105659	76435	401413	177	16516	6751	1282	805	630	4587	465	2651	323909	279476	5121	1258	5666	2493	592	3391	3191	21849	2773	7740	5768	8245	2754	319	8639	11323	1074493	4095	793686	20772	21098	422414	1603225	107	81381	313692	10698	27661	20954	163834	22746	119520	3153	904	12433	35476	13108	47068	1039	85	58039	1410	235	15615	11613	2276	2157	40	2390	3681	27295	9147	2400	58162	797882	4479	5650	10739	4207	101	5889914
184_T0_1	184_T1	227137	644522	45951	1162	31312	44560	31251	23	56859	543237	60	157	1046	482909	671021	284647	64798	7682422	3116	4202	180841	25045	8446	9828	65089	17663	333	2717	455	837	1213	1960	1105	2938	6631	121706	87509	442586	181	18783	5166	1352	955	681	3906	345	2155	378857	313550	4034	1339	2419	2911	640	4242	3120	23859	3174	8925	4855	9773	3191	326	10333	13391	1179097	4429	872945	24806	24152	458485	1780323	83	89153	356340	12345	31648	24004	189247	25732	136383	3755	1111	12972	36689	14644	54549	1124	102	70720	1332	337	15632	13231	2757	2687	38	2624	4569	22004	11412	3148	53363	906205	6384	7170	13223	5193	2586	6308861
184_T0_2	184_T1	208666	568823	40379	1110	27071	38496	29673	86	53295	495920	65	121	1042	433983	590668	250539	55258	7313225	2595	3782	155451	25468	11797	8531	55688	15877	362	2308	409	635	1614	1596	925	2631	6747	102861	78300	391418	126	16351	7506	1283	848	571	5069	316	2859	311753	286235	5354	1175	4096	2241	548	3516	2903	21818	2590	7304	4307	8440	2495	271	8329	10852	1065275	4700	783811	19294	21108	412696	1594499	71	78275	306161	4643	25884	20122	161260	21971	114319	3037	828	12549	35443	12436	46073	909	46	59369	1128	179	14882	10833	2270	2081	86	2452	3570	18064	9112	2177	54409	794411	4971	5579	10827	4156	1994	5959259
184_T0_3	184_T1	249001	746395	52449	1537	24062	30451	33813	151	57657	549185	82	183	934	440271	727755	321963	70705	7372940	2640	4186	183323	31065	11787	9856	63692	17031	358	2532	491	803	1157	1796	942	2395	11910	113418	77465	458939	139	22601	6041	1635	693	634	3156	356	2411	374557	289210	3221	1411	3273	2747	1125	3999	3553	25915	2894	8867	5481	10060	3174	276	9660	12354	1278919	5408	902360	12870	22615	467404	1814822	36	85824	341060	14633	36382	22318	187511	23963	120505	3325	965	15849	45520	13869	50951	1031	69	54575	1459	255	15371	13629	1937	2034	209	3067	3825	16826	10050	2821	785129	812472	5911	5730	11395	4113	12	6253589
184_T0_4	184_T1	264283	848253	51122	3288	26956	34895	35535	131	60602	614823	61	158	1289	512323	830085	406319	578518	8094358	3017	4973	227227	29449	18759	11534	78558	19644	458	2987	620	1127	1981	2219	1052	2716	13154	151423	93843	550341	194	25769	9913	2015	894	777	6511	488	4315	435404	331288	6589	1673	3173	4865	1289	4834	4557	30767	4620	10160	5279	11090	4134	520	11765	16034	1408456	5150	992968	14941	25488	501203	1957690	148	94781	384285	18292	55851	25328	220980	27215	139171	3939	1153	19538	56606	13217	59972	1141	12	72336	1540	537	15406	17731	2631	2930	186	2935	5174	20218	14182	3515	891913	924290	6918	7956	14671	5758	1941	6818321
184_T0_5	184_T1	270178	915019	47500	1551	28327	36593	33955	232	58114	674099	69	172	1288	559395	909384	435008	85165	8592905	3270	5516	249805	30654	24092	12769	85943	22207	633	3259	674	1215	2038	2576	1155	3125	13925	166731	103732	626902	230	28703	12596	2383	966	822	6867	479	4876	478530	368527	7031	1853	4605	4964	1541	5209	4785	36353	5278	11597	7660	12738	4440	495	13487	17975	1554211	7567	1091525	16272	28652	553165	2174442	209	105256	424180	20432	58566	28110	249164	30707	158793	4510	1398	23751	68115	14645	67317	1434	18	86009	1457	565	16592	21318	3246	3591	345	3503	5892	22776	15867	3980	64177	1011721	7212	9454	16639	6594	65	7246714
185_T0_1	185_T1	257771	878758	43917	1400	27213	35311	33072	195	56650	603331	50	155	1274	472008	872418	424292	81569	7900338	3118	5365	245560	28239	24848	12371	84145	21934	634	3197	607	1048	2352	2361	1227	3026	13534	164520	89533	607366	237	27486	12401	1986	943	787	7168	257	5363	463298	328410	7443	1799	3735	5111	1512	4971	4838	35796	5107	10841	6420	12111	4358	563	13154	17142	1503711	6974	1059045	16988	28085	544411	2096106	165	103578	412384	8771	61166	27863	234796	30134	154053	4419	1366	22983	65783	13342	66465	1368	51	80941	1494	567	15218	19241	3222	3882	375	3239	5593	23329	15654	4498	64901	986316	6340	9412	16609	6391	820	6548297
185_T0_2	185_T1	225848	683187	47073	1364	31457	44663	27861	69	54871	571835	62	241	1231	499200	706133	304268	60158	8004824	3230	4558	192008	27717	9012	10366	68867	18338	462	2873	484	878	1371	2025	1074	3326	8360	130796	90380	463199	176	20468	5572	1523	934	803	3686	250	2212	403122	334056	4045	1381	3482	3216	695	4385	3078	24380	3330	9399	5302	10538	3598	365	10868	15891	1258842	5803	932975	23848	25401	488122	1859743	12	95389	373860	14000	32969	25457	201776	27437	144154	3869	1155	13741	39194	14064	57006	1181	29	70530	1457	315	16835	14459	2994	2456	113	2984	4999	23414	12586	3087	56621	936845	5950	7892	14204	5578	2456	6567621
185_T0_3	185_T1	214551	629593	44665	1291	28733	41737	27971	35	51003	528588	54	169	1091	462500	653498	282338	61348	7479930	2807	3876	175351	25193	6240	9114	62131	16804	344	2366	460	883	901	1729	989	2770	6066	117431	84086	424042	149	18188	3668	1326	809	642	2636	185	1475	369052	305263	2745	1176	4220	2685	594	3841	2847	23182	2758	8431	6445	9292	2985	337	9721	12131	1156162	5052	858354	22176	23190	444716	1724812	12	86191	342102	12194	31077	23069	179556	24916	131118	3540	996	10729	31262	12323	52231	970	85	63369	1285	273	14768	12181	2413	2417	89	2530	3888	19658	9646	3001	62395	859706	4861	5874	12365	4555	85	6160655
185_T0_4	185_T1	274885	902294	52282	1226	27668	35829	36236	171	61228	637657	68	208	1245	514304	893755	406012	81175	8053575	3152	5073	231609	30035	14706	12620	79649	21162	517	3103	580	885	1470	2285	1227	2839	16008	148285	93877	564100	218	27995	6949	1956	905	793	4268	314	3333	462704	340267	4369	1624	3691	3707	1385	4818	4101	33710	4114	10732	5446	11754	4311	392	11949	16976	1470170	6685	1033035	15368	26752	524688	2042879	142	99241	400071	17891	44764	26254	227301	28366	148387	4068	1211	18845	55373	13153	62300	1205	57	75268	1485	438	15517	18446	2738	3019	243	2866	5431	20871	13893	3548	904574	936579	7651	8042	14303	5474	1718	6936446
185_T0_5	185_T1	207808	532476	47128	2891	25556	37356	30089	75	55796	461626	63	163	1072	404875	545389	238701	53079	6871727	2449	3230	147017	25879	4343	7815	52015	13699	257	1985	349	756	607	1479	825	2397	4543	97059	71122	339504	170	14798	2804	1023	676	479	1963	172	1006	305668	263926	2058	911	3606	2353	568	2905	2785	17269	2179	6774	4942	7219	2400	293	7533	9746	984971	4044	710679	19095	19340	383601	1481893	12	70162	277889	8617	25661	18782	145701	20467	104371	2882	838	8149	23060	12655	42364	847	12	48845	1242	184	14831	8918	1797	1583	63	1906	3043	15503	7357	2470	736407	736453	2586	4755	9026	3443	862	5624953
186_T0_1	186_T1	219236	634823	43034	1348	29182	42692	30968	43	55824	536927	70	185	1019	462420	620052	280713	56795	7568903	2979	4395	176309	26247	10831	9125	63024	17954	462	2505	423	745	1583	1828	1050	2884	7224	116159	84695	446637	191	18429	6882	1219	864	624	4416	298	2470	363175	314784	4653	1202	3308	2599	600	3706	3012	24213	2934	7893	4820	8666	3183	302	9363	12785	1081068	5245	793828	21645	20831	452522	1619018	72	86432	316376	11975	30366	21438	184496	22884	119500	3281	1099	13306	35839	12823	50691	1023	61	69597	1211	241	15596	13275	2577	2542	393	2624	3936	18561	10688	2657	54423	883753	5036	6555	11606	4454	1858	6220292
186_T0_2	186_T1	247402	882393	57443	1311	27927	38606	32120	229	55590	616294	78	293	1354	493634	839115	441576	83006	8014853	3337	5598	261466	28438	31091	12335	90253	23430	604	3534	607	1264	2744	2520	1151	3209	14163	177232	93857	626829	214	28016	14898	2102	1019	819	6598	514	5362	498526	346957	7087	1954	3681	5207	1643	4925	4699	36434	6220	10586	6769	11801	4889	700	13800	18176	1487649	7578	1047864	16962	27865	570859	2079575	128	109326	408965	19353	66958	27642	252874	29914	155776	4599	1410	24153	65132	14773	70236	1589	119	91864	1729	699	17066	22067	3897	3889	293	3606	6578	24456	16944	3884	63750	1105710	7423	10908	16624	7012	1957	6510148
186_T0_3	186_T1	226973	673742	48099	1296	29935	42794	30071	49	56237	565906	59	169	1105	481882	657050	289677	68725	7724603	3138	4540	183067	25930	7468	9626	66314	18678	352	2775	485	903	1052	2058	1012	2940	7037	118538	88119	454097	174	19779	4405	1428	843	688	3295	250	1768	397859	327478	3492	1263	4335	2545	567	4167	2877	25755	2963	8409	5195	9399	3412	365	10026	14158	1148826	4683	844969	21303	22490	473283	1710450	71	91235	333022	12740	30445	23848	197125	24505	130227	3620	1075	11754	31699	13347	53598	1073	77	71540	1285	239	15483	13503	2801	2875	157	2482	4580	20249	11247	2673	49284	939656	2843	7117	12200	4693	2077	6351879
186_T0_4	186_T1	266804	922088	46664	1475	28627	38102	34021	181	58177	637925	67	287	1304	488718	876674	449886	88715	8198753	3576	5975	264170	29331	32134	12729	92187	24763	634	3492	650	1226	2859	2634	1280	3363	14564	174766	95519	655816	241	29609	15974	2417	1058	844	8054	523	6328	505116	355669	8450	1992	2985	5308	1686	5052	4687	40709	5941	11341	8292	12293	5098	592	13883	20724	1533949	7802	1089459	16600	28468	616814	2143737	271	118975	423362	22838	66182	28793	261644	30056	159861	4657	1584	25545	68495	14734	72066	1667	54	89906	1708	708	16826	23259	4204	4487	243	3608	6667	24103	17637	4863	82278	1130417	5548	10769	16756	7091	92	6795416
186_T0_5	186_T1	264722	907193	51771	1384	27900	35909	34911	164	60698	636662	59	266	1085	520165	837145	417322	79804	8232451	3055	5360	240023	30709	17212	12077	82117	21437	552	3137	560	1050	1516	2233	1052	2859	13625	154739	96600	575581	232	26615	8624	1981	935	743	3986	399	3146	470819	346494	4171	1544	2804	4113	1332	4510	4215	35976	4591	9817	5032	10638	4174	486	11679	17569	1362607	5739	969246	14194	24589	534284	1906863	186	100239	367879	18265	50841	24311	234824	26465	136339	4060	1309	19342	53146	13795	62372	1339	45	81227	1500	543	15769	19234	2843	3797	214	3844	5991	19606	14981	3121	945427	977165	4157	8827	14463	4997	2149	6981944
