species	metabolite	log2FC	SE	time
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-4.783464538	0.564018302	t16
Lapi	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	6.423033195	2.083585771	t16
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	-0.386311386	0.500064572	t16
Lapi	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	-5.168866315	0.624583105	t16
Lapi	"Cadaverine,_4TMS_derivative"	0.03411597	0.765044947	t16
Lapi	"L-Lysine,_4TMS_derivative"	0.072839392	0.861606595	t16
Lapi	"D-Glucitol,_6TMS_derivative"	-1.06405149	0.433994132	t16
Lapi	"L-Tyrosine,_3TMS_derivative"	-0.214836053	0.524930199	t16
Lapi	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	-0.368142936	0.432988707	t16
Lapi	"D-Gluconic_acid,_6TMS_derivative"	-0.39273747	0.468884635	t16
Lapi	"Muco-Inositol,_6TMS_derivative"	-0.334699659	0.482681391	t16
Lapi	Unknown_22_95	0.67017721	0.590678568	t16
Lapi	"Glucose,_5TMS_derivative_13C"	-0.827646079	0.885298514	t16
Lapi	"Glucose,_5TMS_derivative"	-5.388438216	0.876514407	t16
Lapi	"Palmitic_Acid,_TMS_derivative"	-0.151374624	0.155170202	t16
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_2"	-0.234901801	0.505664643	t16
Lapi	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	3.767007811	0.652513097	t16
Lapi	"Indole-3-lactic_acid,_3TMS_derivative"	5.855427552	1.202462475	t16
Lapi	"L-Tryptophan,_3TMS_derivative"	-0.202832302	0.613756846	t16
Lapi	"Oleic_Acid,_(Z)-,_TMS_derivative"	-0.209705906	0.280437911	t16
Lapi	Sugar_phosphate_26_68	-0.584556622	1.215324041	t16
Lapi	"Stearic_acid,_TMS_derivative"	-0.132835398	0.140519752	t16
Lapi	"Tranexamic_acid,_3TMS_derivative"	-0.287791823	0.858331444	t16
Lapi	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	-0.365061578	0.669569476	t16
Lapi	"Xanthine,_3TMS_derivative"	-0.478294199	0.961946355	t16
Lapi	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	-0.606360538	2.109865143	t16
Lapi	"Uridine,_3TMS_derivative"	-3.586349862	0.463623582	t16
Lapi	"Inosine,_4TMS_derivative"	-5.806977862	1.635198481	t16
Lapi	"Sucrose,_8TMS_derivative"	-0.470270512	0.539239809	t16
Lapi	"Adenosine,_4TMS_derivative"	-7.103556192	1.596036499	t16
Lapi	Unknown_30_30	-0.53165437	0.754433656	t16
Lapi	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-2.569974099	2.121858702	t16
Lapi	"Lactose,_8TMS_derivative"	-3.839162953	0.575957583	t16
Lapi	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	-0.774660725	0.769256646	t16
Lapi	"Guanosine,_5TMS_derivative"	-6.583960281	1.395050942	t16
Lapi	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.861820227	0.654973691	t16
Lapi	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.703299189	0.68654924	t16
Lapi	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	0.900221469	1.943104323	t16
Lapi	"Lactic_Acid,_2TMS_derivative"	4.654447727	0.227623847	t24
Lapi	"L-Alanine,_2TMS_derivative"	0.594774832	0.452620766	t24
Lapi	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	0.155443927	0.146708169	t24
Lapi	"3-Methyl-2-butenoic_acid,_morpholide"	0.396514674	0.517655689	t24
Lapi	"Silanol,_trimethyl-,_carbonate_(2:1)"	1.760535989	0.303777697	t24
Lapi	"Pentasiloxane,_dodecamethyl-"	1.959885392	0.311368811	t24
Lapi	"1,4-Butanediol,_2TMS_derivative"	0.617557249	0.169243569	t24
Lapi	Creatinine	-1.018650057	1.472533352	t24
Lapi	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	0.711381916	0.100430273	t24
Lapi	"L-Valine,_2TMS_derivative"	0.57057039	0.310269055	t24
Lapi	"Ethylphosphonic_acid,_2TMS_derivative"	6.257292593	0.412353301	t24
Lapi	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	5.15360616	0.374396134	t24
Lapi	"Benzoic_Acid,_TMS_derivative"	0.925524208	0.19376862	t24
Lapi	"L-Isoleucine,_2TMS_derivative"	0.272577058	0.329573618	t24
Lapi	"L-Proline,_2TMS_derivative"	0.68557302	0.410385156	t24
Lapi	"Glycine,_3TMS_derivative"	1.439399902	0.566404363	t24
Lapi	"Butanedioic_acid,_2TMS_derivative"	1.442639515	0.429003513	t24
Lapi	"L-Leucine,_2TMS_derivative"	0.385570789	0.319280452	t24
Lapi	"Glyceric_acid,_3TMS_derivative"	1.43512321	0.348253122	t24
Lapi	"Uracil,_2TMS_derivative"	3.777449824	0.395395894	t24
Lapi	"Serine,_3TMS_derivative"	0.737115742	0.541529623	t24
Lapi	"8,10-Dioxaheptadecane"	0.586971525	0.112952813	t24
Lapi	Unknown_7_02	2.426782542	1.344214733	t24
Lapi	"Pipecolic_acid,_2TMS_derivative"	0.482123789	0.406523847	t24
Lapi	"L-Threonine,_3TMS_derivative"	1.068838026	0.472534818	t24
Lapi	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	1.172626762	0.410986451	t24
Lapi	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	2.729910837	0.602791975	t24
Lapi	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	0.844602971	0.439553019	t24
Lapi	".beta.-Alanine,_3TMS_derivative"	0.970616193	0.492545142	t24
Lapi	"3-Amino-2-piperidone,_2TMS_derivative"	1.985091027	0.615724862	t24
Lapi	Unknown_9_81	1.994985676	1.073986802	t24
Lapi	"Malic_acid,_3TMS_derivative"	-4.622690871	0.461381192	t24
Lapi	"Erythritol_2,_4TMS_derivative"	0.677025018	0.408711628	t24
Lapi	"Tromethamine,_4TMS_derivative"	3.979622559	0.849384088	t24
Lapi	"Pyroglutamic_acid,_TMS_derivative"	0.854133315	0.887529431	t24
Lapi	"L-Aspartic_acid,_3TMS_derivative"	0.782198859	0.643047784	t24
Lapi	"L-Methionine,_2TMS_derivative"	0.267397942	0.342961864	t24
Lapi	"L-5-Oxoproline,_,_2TMS_derivative"	0.997538075	0.520992221	t24
Lapi	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	6.689519874	0.407096495	t24
Lapi	"4-Aminobutanoic_acid,_3TMS_derivative"	0.896860399	0.507968339	t24
Lapi	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	2.34903317	1.294918287	t24
Lapi	"DL-Phenylalanine,_TMS_derivative"	1.409117224	0.685686183	t24
Lapi	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	0.781771528	0.416635757	t24
Lapi	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	2.327598783	0.529963356	t24
Lapi	"2-Aminoadipic_acid,_3TMS_derivative"	2.145372816	1.095824753	t24
Lapi	"3-Phenyllactic_acid,_2TMS_derivative"	7.048637207	0.44147908	t24
Lapi	"2-Aminooctanoic_acid,_2TMS_derivative"	2.642023237	1.256467491	t24
Lapi	"L-Glutamic_acid,_3TMS_derivative"	0.703169231	0.479296628	t24
Lapi	"L-Phenylalanine,_2TMS_derivative"	0.41705706	0.290753078	t24
Lapi	"2-Aminoheptanedioic_acid,_3TMS_derivative"	1.958649562	1.105676963	t24
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	1.538656712	0.455742802	t24
Lapi	Unknown_15_17	0.721621007	0.479031348	t24
Lapi	"Asparagine,_3TMS_derivative"	1.443363053	0.86960807	t24
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	5.466861257	0.741230364	t24
Lapi	"Xylitol,_5TMS_derivative"	0.973623567	0.38448308	t24
Lapi	"Putrescine,_4TMS_derivative"	1.552724935	0.554530864	t24
Lapi	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	1.322625985	0.583325557	t24
Lapi	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	1.832473131	0.831393612	t24
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_1"	0.721195875	0.371875634	t24
Lapi	"Terephthalic_acid,_2TMS_derivative"	-1.437594787	0.178488908	t24
Lapi	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	0.691953265	0.392099206	t24
Lapi	"9H-Purin-6-ol,_2TMS_derivative"	3.005608012	0.518282337	t24
Lapi	"L-Ornithine,_4TMS_derivative"	1.643678616	0.634352373	t24
Lapi	"Citric_acid,_4TMS_derivative"	-3.208213818	0.65306072	t24
Lapi	Unknown_19_62	0.997388641	0.579783946	t24
Lapi	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	-11.23850615	0.813696608	t24
Lapi	"Adenine,_2TMS_derivative"	3.75228441	0.457196149	t24
Lapi	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	-10.35820785	0.763181425	t24
Lapi	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-9.433193277	1.346961081	t24
Lapi	"D-(+)-Gluconolactone,_4TMS_derivative"	0.483871448	0.30935147	t24
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	1.32738076	0.391526728	t24
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-8.855459503	0.343830246	t24
Lapi	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	7.669391282	2.031274715	t24
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	1.084515835	0.4473221	t24
Lapi	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	-9.241579065	0.872004911	t24
Lapi	"Cadaverine,_4TMS_derivative"	0.93412018	0.85883093	t24
Lapi	"L-Lysine,_4TMS_derivative"	1.902800891	0.74206588	t24
Lapi	"D-Glucitol,_6TMS_derivative"	-3.983566965	0.635744105	t24
Lapi	"L-Tyrosine,_3TMS_derivative"	0.772170448	0.402480607	t24
Lapi	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	0.656153766	0.386130441	t24
Lapi	"D-Gluconic_acid,_6TMS_derivative"	0.561631805	0.539948025	t24
Lapi	"Muco-Inositol,_6TMS_derivative"	0.758939516	0.508169858	t24
Lapi	Unknown_22_95	2.657826484	0.436500031	t24
Lapi	"Glucose,_5TMS_derivative_13C"	0.991418781	0.754820945	t24
Lapi	"Glucose,_5TMS_derivative"	-8.507203361	1.75676274	t24
Lapi	"Palmitic_Acid,_TMS_derivative"	1.323824407	0.104956799	t24
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_2"	0.766898635	0.485607899	t24
Lapi	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	5.463627809	0.464708609	t24
Lapi	"Indole-3-lactic_acid,_3TMS_derivative"	7.14291433	1.139276291	t24
Lapi	"L-Tryptophan,_3TMS_derivative"	0.593550279	0.424747516	t24
Lapi	"Oleic_Acid,_(Z)-,_TMS_derivative"	1.626153063	0.334133704	t24
Lapi	Sugar_phosphate_26_68	1.606984707	1.004633127	t24
Lapi	"Stearic_acid,_TMS_derivative"	1.282258471	0.108909322	t24
Lapi	"Tranexamic_acid,_3TMS_derivative"	1.21788607	0.774361678	t24
Lapi	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	1.493965495	0.741319416	t24
Lapi	"Xanthine,_3TMS_derivative"	1.110024864	0.698320172	t24
Lapi	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	1.587683028	1.089559553	t24
Lapi	"Uridine,_3TMS_derivative"	-1.561264403	0.699486213	t24
Lapi	"Inosine,_4TMS_derivative"	-4.439334049	0.598802953	t24
Lapi	"Sucrose,_8TMS_derivative"	0.709495602	0.369099393	t24
Lapi	"Adenosine,_4TMS_derivative"	-5.30004078	0.684060338	t24
Lapi	Unknown_30_30	0.629282895	0.48843264	t24
Lapi	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-1.028822123	2.058557295	t24
Lapi	"Lactose,_8TMS_derivative"	-2.347692355	0.304640615	t24
Lapi	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	0.531810779	0.669890695	t24
Lapi	"Guanosine,_5TMS_derivative"	-4.043933012	0.807343844	t24
Lapi	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	0.525796426	0.463918647	t24
Lapi	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	1.094699881	0.56489453	t24
Lapi	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	2.93990807	1.89664374	t24
Lhel	"Lactic_Acid,_2TMS_derivative"	-0.113475607	0.233376798	t0
Lhel	"L-Alanine,_2TMS_derivative"	-0.042547532	0.544928307	t0
Lhel	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	-0.114404413	0.219012127	t0
Lhel	"3-Methyl-2-butenoic_acid,_morpholide"	-0.058080759	0.21850687	t0
Lhel	"Silanol,_trimethyl-,_carbonate_(2:1)"	-0.115411601	0.217005641	t0
Lhel	"Pentasiloxane,_dodecamethyl-"	-0.051535617	0.34050162	t0
Lhel	"1,4-Butanediol,_2TMS_derivative"	-0.115479041	0.178392063	t0
Lhel	Creatinine	-0.02339555	1.471968059	t0
Lhel	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	-0.117875128	0.17892217	t0
Lhel	"L-Valine,_2TMS_derivative"	-0.046015534	0.36880593	t0
Lhel	"Ethylphosphonic_acid,_2TMS_derivative"	-0.1082411	0.249367877	t0
Lhel	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	-0.059317567	0.396194428	t0
Lhel	"Benzoic_Acid,_TMS_derivative"	-0.115811332	0.219723911	t0
Lhel	"L-Isoleucine,_2TMS_derivative"	-0.047277956	0.336712652	t0
Lhel	"L-Proline,_2TMS_derivative"	-0.100513864	0.446944326	t0
Lhel	"Glycine,_3TMS_derivative"	-0.038876412	0.623963036	t0
Lhel	"Butanedioic_acid,_2TMS_derivative"	-0.099383826	0.489676135	t0
Lhel	"L-Leucine,_2TMS_derivative"	-0.049635418	0.233358029	t0
Lhel	"Glyceric_acid,_3TMS_derivative"	-0.107313751	0.333193124	t0
Lhel	"Uracil,_2TMS_derivative"	-0.042696984	0.619165452	t0
Lhel	"Serine,_3TMS_derivative"	-0.099733735	0.52448203	t0
Lhel	"8,10-Dioxaheptadecane"	-0.049548669	0.195056769	t0
Lhel	Unknown_7_02	-0.07023944	2.002314513	t0
Lhel	"Pipecolic_acid,_2TMS_derivative"	-0.042331727	0.569313042	t0
Lhel	"L-Threonine,_3TMS_derivative"	-0.100681038	0.496580272	t0
Lhel	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	-0.042561602	0.637532879	t0
Lhel	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	-0.099486918	0.787472209	t0
Lhel	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	-0.039753743	0.570357005	t0
Lhel	".beta.-Alanine,_3TMS_derivative"	-0.109873207	0.484221595	t0
Lhel	"3-Amino-2-piperidone,_2TMS_derivative"	-0.037089884	0.667830623	t0
Lhel	Unknown_9_81	-0.087871836	1.604832482	t0
Lhel	"Malic_acid,_3TMS_derivative"	-0.041368553	0.700446816	t0
Lhel	"Erythritol_2,_4TMS_derivative"	-0.102402495	0.485851585	t0
Lhel	"Tromethamine,_4TMS_derivative"	-0.043911767	0.564965505	t0
Lhel	"Pyroglutamic_acid,_TMS_derivative"	-0.078346658	1.158680295	t0
Lhel	"L-Aspartic_acid,_3TMS_derivative"	-0.038818564	0.673847774	t0
Lhel	"L-Methionine,_2TMS_derivative"	-0.108189017	0.300423344	t0
Lhel	"L-5-Oxoproline,_,_2TMS_derivative"	-0.041894402	0.69534916	t0
Lhel	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	-0.09124116	1.578875055	t0
Lhel	"4-Aminobutanoic_acid,_3TMS_derivative"	-0.038252535	0.689650936	t0
Lhel	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	-0.078615495	1.777811312	t0
Lhel	"DL-Phenylalanine,_TMS_derivative"	-0.036945454	0.769274152	t0
Lhel	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	-0.100029084	0.559251807	t0
Lhel	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	-0.043742544	0.646258693	t0
Lhel	"2-Aminoadipic_acid,_3TMS_derivative"	-0.089889929	1.462338482	t0
Lhel	"3-Phenyllactic_acid,_2TMS_derivative"	-0.062481034	1.068686982	t0
Lhel	"2-Aminooctanoic_acid,_2TMS_derivative"	-0.075992534	1.934921007	t0
Lhel	"L-Glutamic_acid,_3TMS_derivative"	-0.042142962	0.536666308	t0
Lhel	"L-Phenylalanine,_2TMS_derivative"	-0.10910971	0.256529145	t0
Lhel	"2-Aminoheptanedioic_acid,_3TMS_derivative"	-0.050907123	1.613422872	t0
Lhel	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	-0.098936796	0.620295593	t0
Lhel	Unknown_15_17	-0.079009256	0.707101384	t0
Lhel	"Asparagine,_3TMS_derivative"	-0.084195696	1.031389049	t0
Lhel	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	-0.027669478	1.213336359	t0
Lhel	"Xylitol,_5TMS_derivative"	-0.09434415	0.581133793	t0
Lhel	"Putrescine,_4TMS_derivative"	-0.03888183	0.594131171	t0
Lhel	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	-0.093069754	0.775231974	t0
Lhel	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	-0.027877353	1.167616196	t0
Lhel	"Myo-Inositol,_6TMS_derivative_isomer_1"	-0.096408502	0.581460755	t0
Lhel	"Terephthalic_acid,_2TMS_derivative"	-0.047394366	0.474839629	t0
Lhel	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	-0.096547481	0.546104851	t0
Lhel	"9H-Purin-6-ol,_2TMS_derivative"	-0.038917408	0.997358792	t0
Lhel	"L-Ornithine,_4TMS_derivative"	-0.085414387	1.052287977	t0
Lhel	"Citric_acid,_4TMS_derivative"	-0.037315534	0.799089249	t0
Lhel	Unknown_19_62	-0.09689615	0.601177535	t0
Lhel	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	-0.039996721	0.528270394	t0
Lhel	"Adenine,_2TMS_derivative"	-0.087204623	0.862676831	t0
Lhel	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	-0.0408261	0.519696303	t0
Lhel	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-0.11734139	0.55144594	t0
Lhel	"D-(+)-Gluconolactone,_4TMS_derivative"	-0.039315228	0.555933012	t0
Lhel	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	-0.106984522	0.307204307	t0
Lhel	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-0.041216066	0.487267924	t0
Lhel	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	-0.10653965	1.057077718	t0
Lhel	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	-0.043723584	0.474240247	t0
Lhel	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	-0.100548743	0.45631564	t0
Lhel	"Cadaverine,_4TMS_derivative"	-0.038755635	0.842853178	t0
Lhel	"L-Lysine,_4TMS_derivative"	-0.083325085	1.051319431	t0
Lhel	"D-Glucitol,_6TMS_derivative"	-0.039772809	0.593172639	t0
Lhel	"L-Tyrosine,_3TMS_derivative"	-0.099437147	0.538087544	t0
Lhel	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	-0.040224485	0.559206679	t0
Lhel	"D-Gluconic_acid,_6TMS_derivative"	-0.100025244	0.49317499	t0
Lhel	"Muco-Inositol,_6TMS_derivative"	-0.038557537	0.603155128	t0
Lhel	Unknown_22_95	-0.094472235	0.671433747	t0
Lhel	"Glucose,_5TMS_derivative_13C"	-0.038743495	1.23176151	t0
Lhel	"Glucose,_5TMS_derivative"	-0.084469422	1.181327461	t0
Lhel	"Palmitic_Acid,_TMS_derivative"	-0.048934925	0.254307715	t0
Lhel	"Myo-Inositol,_6TMS_derivative_isomer_2"	-0.100013913	0.497205594	t0
Lhel	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	-0.045803677	0.986322932	t0
Lhel	"Indole-3-lactic_acid,_3TMS_derivative"	-0.126791692	0.712803551	t0
Lhel	"L-Tryptophan,_3TMS_derivative"	-0.041823778	0.905147447	t0
Lhel	"Oleic_Acid,_(Z)-,_TMS_derivative"	-0.107771592	0.450720001	t0
Lhel	Sugar_phosphate_26_68	-0.019951799	1.556316975	t0
Lhel	"Stearic_acid,_TMS_derivative"	-0.115692754	0.15902744	t0
Lhel	"Tranexamic_acid,_3TMS_derivative"	-0.035821833	1.127482421	t0
Lhel	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	-0.092085709	0.873437148	t0
Lhel	"Xanthine,_3TMS_derivative"	-0.02754257	1.508033061	t0
Lhel	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	-0.071328072	1.507895017	t0
Lhel	"Uridine,_3TMS_derivative"	-0.040261649	0.668959982	t0
Lhel	"Inosine,_4TMS_derivative"	-0.091715744	0.848366564	t0
Lhel	"Sucrose,_8TMS_derivative"	-0.057501968	0.913119212	t0
Lhel	"Adenosine,_4TMS_derivative"	-0.085858271	1.01442827	t0
Lhel	Unknown_30_30	-0.038077213	0.717121241	t0
Lhel	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.047281229	3.239541886	t0
Lhel	"Lactose,_8TMS_derivative"	-0.04430353	0.473955371	t0
Lhel	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	-0.078141737	1.280061252	t0
Lhel	"Guanosine,_5TMS_derivative"	-0.034413063	1.189220148	t0
Lhel	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.090410523	0.761735105	t0
Lhel	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.030798063	1.113427952	t0
Lhel	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.024113454	4.805755374	t0
Lhel	"Lactic_Acid,_2TMS_derivative"	3.510298214	0.228379344	t8
Lhel	"L-Alanine,_2TMS_derivative"	0.797212203	0.440599452	t8
Lhel	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	0.010541984	0.21671353	t8
Lhel	"3-Methyl-2-butenoic_acid,_morpholide"	0.755827392	0.146991216	t8
Lhel	"Silanol,_trimethyl-,_carbonate_(2:1)"	1.791086717	0.259306684	t8
Lhel	"Pentasiloxane,_dodecamethyl-"	1.970908425	0.27339348	t8
Lhel	"1,4-Butanediol,_2TMS_derivative"	0.564500553	0.128898083	t8
Lhel	Creatinine	-0.253932199	1.383946022	t8
Lhel	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	0.672056179	0.078784375	t8
Lhel	"L-Valine,_2TMS_derivative"	0.594393296	0.350043173	t8
Lhel	"Ethylphosphonic_acid,_2TMS_derivative"	3.501706997	0.239994218	t8
Lhel	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	4.179068414	0.315306217	t8
Lhel	"Benzoic_Acid,_TMS_derivative"	1.043579169	0.274690566	t8
Lhel	"L-Isoleucine,_2TMS_derivative"	0.302682903	0.465032402	t8
Lhel	"L-Proline,_2TMS_derivative"	0.763410915	0.442870299	t8
Lhel	"Glycine,_3TMS_derivative"	0.772896095	0.520245385	t8
Lhel	"Butanedioic_acid,_2TMS_derivative"	1.239137159	0.457811213	t8
Lhel	"L-Leucine,_2TMS_derivative"	0.149883763	0.383293774	t8
Lhel	"Glyceric_acid,_3TMS_derivative"	1.127275972	0.364073185	t8
Lhel	"Uracil,_2TMS_derivative"	1.500729751	0.489134089	t8
Lhel	"Serine,_3TMS_derivative"	0.670946193	0.507882695	t8
Lhel	"8,10-Dioxaheptadecane"	0.55977365	0.14480111	t8
Lhel	Unknown_7_02	1.521767914	1.732923873	t8
Lhel	"Pipecolic_acid,_2TMS_derivative"	0.878933797	0.462078065	t8
Lhel	"L-Threonine,_3TMS_derivative"	1.010584639	0.473606135	t8
Lhel	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	1.454176259	0.491384842	t8
Lhel	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	2.899868321	0.659954159	t8
Lhel	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	1.215254278	0.445720936	t8
Lhel	".beta.-Alanine,_3TMS_derivative"	1.515010508	0.415280807	t8
Lhel	"3-Amino-2-piperidone,_2TMS_derivative"	1.612502181	0.59106952	t8
Lhel	Unknown_9_81	1.342041676	1.398754035	t8
Lhel	"Malic_acid,_3TMS_derivative"	1.193824139	0.53969726	t8
Lhel	"Erythritol_2,_4TMS_derivative"	0.908097998	0.452256121	t8
Lhel	"Tromethamine,_4TMS_derivative"	3.691931604	1.36966557	t8
Lhel	"Pyroglutamic_acid,_TMS_derivative"	1.251446036	0.92242488	t8
Lhel	"L-Aspartic_acid,_3TMS_derivative"	0.660510518	0.583314327	t8
