species	metabolite	log2FC	SE	time
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_1"	-0.079662546	0.499800374	t0
Lapi	"Terephthalic_acid,_2TMS_derivative"	-0.022422866	0.360252313	t0
Lapi	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	-0.077550224	0.536097882	t0
Lapi	"9H-Purin-6-ol,_2TMS_derivative"	-0.070323693	0.651096225	t0
Lapi	"L-Ornithine,_4TMS_derivative"	-0.062070993	0.613969289	t0
Lapi	"Citric_acid,_4TMS_derivative"	-0.06137658	0.566299265	t0
Lapi	Unknown_19_62	-0.076706642	0.609336726	t0
Lapi	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	-0.058805682	0.512113907	t0
Lapi	"Adenine,_2TMS_derivative"	-0.076527769	0.553666141	t0
Lapi	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	-0.056341116	0.494667985	t0
Lapi	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-0.091822297	0.486683353	t0
Lapi	"D-(+)-Gluconolactone,_4TMS_derivative"	-0.056303773	0.471403004	t0
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	-0.082135823	0.406655067	t0
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	-0.055544706	0.463222545	t0
Lapi	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	-0.028030812	2.850440925	t0
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	-0.05659739	0.487218577	t0
Lapi	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	-0.080889055	0.442609043	t0
Lapi	"Cadaverine,_4TMS_derivative"	-0.04382597	0.853293259	t0
Lapi	"L-Lysine,_4TMS_derivative"	-0.057101282	0.779320134	t0
Lapi	"D-Glucitol,_6TMS_derivative"	-0.056523674	0.481775389	t0
Lapi	"L-Tyrosine,_3TMS_derivative"	-0.07869195	0.501834745	t0
Lapi	"1,2,3,4,5,6-Hexa-O-trimethelsilyl-myo-inositol"	-0.056497735	0.476082181	t0
Lapi	"D-Gluconic_acid,_6TMS_derivative"	-0.080596639	0.446131147	t0
Lapi	"Muco-Inositol,_6TMS_derivative"	-0.056957834	0.486666412	t0
Lapi	Unknown_22_95	-0.075257219	0.505730615	t0
Lapi	"Glucose,_5TMS_derivative_13C"	-0.088179574	0.920768554	t0
Lapi	"Glucose,_5TMS_derivative"	-0.058288169	0.943086044	t0
Lapi	"Palmitic_Acid,_TMS_derivative"	-0.05842942	0.380946703	t0
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_2"	-0.0783162	0.473670689	t0
Lapi	"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine"	-0.07086683	0.527071971	t0
Lapi	"Indole-3-lactic_acid,_3TMS_derivative"	-0.067856565	1.605948844	t0
Lapi	"L-Tryptophan,_3TMS_derivative"	-0.058759791	0.543269584	t0
Lapi	"Oleic_Acid,_(Z)-,_TMS_derivative"	-0.08799705	0.311351073	t0
Lapi	Sugar_phosphate_26_68	-0.079841015	0.940053074	t0
Lapi	"Stearic_acid,_TMS_derivative"	-0.093030174	0.263257306	t0
Lapi	"Tranexamic_acid,_3TMS_derivative"	-0.071261954	0.753302647	t0
Lapi	"6-(2-Aminophenyl)-1,2,4-triazine-3,5(2H,4H)-dione_tetratms"	-0.070589221	0.604045786	t0
Lapi	"Xanthine,_3TMS_derivative"	-0.059742599	0.736513259	t0
Lapi	"D-Glycero-D-gulo-Heptose,_2,3,4,5,6,7-hexakis-O-(trimethylsilyl)-,_O-methyloxime_2"	-0.025529166	1.559720084	t0
Lapi	"Uridine,_3TMS_derivative"	-0.063459675	0.558905469	t0
Lapi	"Inosine,_4TMS_derivative"	-0.074928474	0.631384903	t0
Lapi	"Sucrose,_8TMS_derivative"	-0.062054514	0.505273347	t0
Lapi	"Adenosine,_4TMS_derivative"	-0.067820543	0.723421959	t0
Lapi	Unknown_30_30	-0.059691344	0.533662709	t0
Lapi	"Maltose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.24068888	2.754972497	t0
Lapi	"Lactose,_8TMS_derivative"	-0.054149804	0.429986302	t0
Lapi	"D-(+)-Turanose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_2)"	-0.07720532	0.931873004	t0
Lapi	"Guanosine,_5TMS_derivative"	-0.082483715	0.672955515	t0
Lapi	"2-.alpha.-Mannobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.070615948	0.596662843	t0
Lapi	".beta.-Gentiobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.069978427	0.607468904	t0
Lapi	"D-(+)-Cellobiose,_octakis(trimethylsilyl)_ether,_methyloxime_(isomer_1)"	-0.108557936	2.676776566	t0
Lapi	"Lactic_Acid,_2TMS_derivative"	3.636823761	0.236168922	t8
Lapi	"L-Alanine,_2TMS_derivative"	0.718229866	0.411895596	t8
Lapi	1-(Trimethylsilyl)-3-[(trimethylsilyl)oxy]urea	0.130649614	0.126347897	t8
Lapi	"3-Methyl-2-butenoic_acid,_morpholide"	0.479259942	0.532577734	t8
Lapi	"Silanol,_trimethyl-,_carbonate_(2:1)"	1.780531853	0.133562273	t8
Lapi	"Pentasiloxane,_dodecamethyl-"	1.984456691	0.165544779	t8
Lapi	"1,4-Butanediol,_2TMS_derivative"	0.63739208	0.178982649	t8
Lapi	Creatinine	0.651354567	1.656803715	t8
Lapi	"Ethanol,_2-(methylamino)-,_N-trifluoroacetyl,_O-(tert-butyldimethylsilyl)"	0.709581064	0.10414758	t8
Lapi	"L-Valine,_2TMS_derivative"	0.630920975	0.252939721	t8
Lapi	"Ethylphosphonic_acid,_2TMS_derivative"	3.95215783	0.319906613	t8
Lapi	"Pentanoic_acid,_3-methyl-2-[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	4.394810771	0.294861068	t8
Lapi	"Benzoic_Acid,_TMS_derivative"	1.094778225	0.199330915	t8
Lapi	"L-Isoleucine,_2TMS_derivative"	0.488605708	0.192329312	t8
Lapi	"L-Proline,_2TMS_derivative"	0.697366479	0.387357844	t8
Lapi	"Glycine,_3TMS_derivative"	0.99239754	0.4856306	t8
Lapi	"Butanedioic_acid,_2TMS_derivative"	1.239057868	0.860100644	t8
Lapi	"L-Leucine,_2TMS_derivative"	0.408469807	0.190664508	t8
Lapi	"Glyceric_acid,_3TMS_derivative"	1.068544485	0.307287777	t8
Lapi	"Uracil,_2TMS_derivative"	1.47288642	0.301938681	t8
Lapi	"Serine,_3TMS_derivative"	0.795846468	0.444597565	t8
Lapi	"8,10-Dioxaheptadecane"	0.58828832	0.127617959	t8
Lapi	Unknown_7_02	2.347534304	1.171073395	t8
Lapi	"Pipecolic_acid,_2TMS_derivative"	0.755367734	0.386047987	t8
Lapi	"L-Threonine,_3TMS_derivative"	1.11048595	0.382887401	t8
Lapi	"3-Methylpiperazine-2,5-dione,_(R)-,_2TMS_derivative"	1.431954174	0.283307946	t8
Lapi	"Pyrimidine,_5-methyl-2,4-bis[(trimethylsilyl)oxy]-"	3.048771124	0.514639467	t8
Lapi	"Butanoic_acid,_2,4-bis[(trimethylsilyl)oxy]-,_trimethylsilyl_ester"	1.177019307	0.373039957	t8
Lapi	".beta.-Alanine,_3TMS_derivative"	1.274381911	0.407786789	t8
Lapi	"3-Amino-2-piperidone,_2TMS_derivative"	1.943299755	0.413494208	t8
Lapi	Unknown_9_81	1.936791713	0.875788248	t8
Lapi	"Malic_acid,_3TMS_derivative"	-2.627195074	0.439867138	t8
Lapi	"Erythritol_2,_4TMS_derivative"	0.939186437	0.265954575	t8
Lapi	"Tromethamine,_4TMS_derivative"	3.711879902	1.230654525	t8
Lapi	"Pyroglutamic_acid,_TMS_derivative"	1.013777759	0.875365177	t8
Lapi	"L-Aspartic_acid,_3TMS_derivative"	0.837454228	0.509758358	t8
Lapi	"L-Methionine,_2TMS_derivative"	0.565108467	0.229802636	t8
Lapi	"L-5-Oxoproline,_,_2TMS_derivative"	1.197341338	0.415554481	t8
Lapi	"4-Pyrimidinamine,_N-(trimethylsilyl)-2-[(trimethylsilyl)oxy]-"	4.247927513	0.356888209	t8
Lapi	"4-Aminobutanoic_acid,_3TMS_derivative"	1.208145949	0.470092304	t8
Lapi	"L-Hydroxyproline,_(E)-,_3TMS_derivative_2"	2.151859479	1.06037595	t8
Lapi	"DL-Phenylalanine,_TMS_derivative"	1.78914681	0.480053576	t8
Lapi	"2,3,4-Trihydroxybutyric_acid_tetrakis(trimethylsilyl)_deriv.,_(,_(R*,R*)-)_2"	1.000676052	0.347978173	t8
Lapi	"Pentanedioic_acid_3,_2-[(trimethylsilyl)oxy]-,_bis(trimethylsilyl)_ester"	2.197564551	0.450854545	t8
Lapi	"2-Aminoadipic_acid,_3TMS_derivative"	1.963494757	0.869594758	t8
Lapi	"3-Phenyllactic_acid,_2TMS_derivative"	5.917810219	0.395847493	t8
Lapi	"2-Aminooctanoic_acid,_2TMS_derivative"	2.433186866	1.03571751	t8
Lapi	"L-Glutamic_acid,_3TMS_derivative"	0.850994359	0.428204518	t8
Lapi	"L-Phenylalanine,_2TMS_derivative"	0.735916178	0.199186601	t8
Lapi	"2-Aminoheptanedioic_acid,_3TMS_derivative"	1.81925666	0.875215035	t8
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_1"	1.772206479	0.412597395	t8
Lapi	Unknown_15_17	0.390122819	0.939624022	t8
Lapi	"Asparagine,_3TMS_derivative"	1.532586887	0.729338908	t8
Lapi	"d-Ribose,_2,3,4,5-tetrakis-O-(trimethylsilyl)-,_O-methyloxime_2"	4.861899845	0.695641936	t8
Lapi	"Xylitol,_5TMS_derivative"	1.174484637	0.335863619	t8
Lapi	"Putrescine,_4TMS_derivative"	1.373901465	0.45798494	t8
Lapi	"5(10H)-Pyrido[3,4-b]quinolone,_7-methoxy-"	1.633616243	0.441220478	t8
Lapi	"Phosphoric_acid,_bis(trimethylsilyl)_2,3-bis[(trimethylsilyl)oxy]propyl_ester"	2.014038342	0.72329494	t8
Lapi	"Myo-Inositol,_6TMS_derivative_isomer_1"	1.006297266	0.321895465	t8
Lapi	"Terephthalic_acid,_2TMS_derivative"	-0.996014164	0.292406384	t8
Lapi	"D-Pinitol,_pentakis(trimethylsilyl)_ether"	0.98430181	0.340150002	t8
Lapi	"9H-Purin-6-ol,_2TMS_derivative"	2.232845072	0.394698696	t8
Lapi	"L-Ornithine,_4TMS_derivative"	1.61086963	0.594265148	t8
Lapi	"Citric_acid,_4TMS_derivative"	1.054966713	0.484009032	t8
Lapi	Unknown_19_62	1.375849226	0.516358594	t8
Lapi	"D-Fructose,_1,3,4,5,6-pentakis-O-(trimethylsilyl)-,_O-methyloxime_-_isomer_2"	0.038526957	0.30232122	t8
Lapi	"Adenine,_2TMS_derivative"	3.018964324	0.356284674	t8
Lapi	"D-(-)-Fructose,_pentakis(trimethylsilyl)_ether,_methyloxime_(syn)"	0.032368328	0.287886376	t8
Lapi	"d-Mannose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	0.901690147	0.29394025	t8
Lapi	"D-(+)-Gluconolactone,_4TMS_derivative"	0.840794942	0.269948296	t8
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)_13C"	1.269832277	0.272429633	t8
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1Z)-"	0.964745476	0.230046624	t8
Lapi	"4-Hydroxyphenyllactic_acid,_3TMS_derivative"	6.619166578	2.022702864	t8
Lapi	"d-Glucose,_2,3,4,5,6-pentakis-O-(trimethylsilyl)-,_o-methyloxyme,_(1E)-_13C"	1.345705479	0.310863677	t8
Lapi	"D-Allose,_pentakis(trimethylsilyl)_ether,_methyloxime_(anti)"	1.051992358	0.271736029	t8
Lapi	"Cadaverine,_4TMS_derivative"	1.821596983	0.496666662	t8
Lapi	"L-Lysine,_4TMS_derivative"	1.910516672	0.612845087	t8
Lapi	"D-Glucitol,_6TMS_derivative"	1.051255648	0.282960885	t8
Lapi	"L-Tyrosine,_3TMS_derivative"	1.188500588	0.322923124	t8
